Country,Operating Unit
Angola,Angola
Asia Region,Asia Region
Barbados,Western Hemisphere Region
Botswana,Botswana
Brazil,Western Hemisphere Region
Burkina Faso,West Africa Region
Burma,Asia Region
Burundi,Burundi
Cambodia,Asia Region
Cameroon,Cameroon
Cote d'Ivoire,Cote d'Ivoire
Democratic Republic of the Congo,Democratic Republic of the Congo
Dominican Republic,Dominican Republic
El Salvador,Western Hemisphere Region
Eswatini,Eswatini
Ethiopia,Ethiopia
Ghana,West Africa Region
Guatemala,Western Hemisphere Region
Guyana,Western Hemisphere Region
Haiti,Haiti
Honduras,Western Hemisphere Region
India,Asia Region
Indonesia,Asia Region
Jamaica,Western Hemisphere Region
Kazakhstan,Asia Region
Kenya,Kenya
Kyrgyzstan,Asia Region
Laos,Asia Region
Lesotho,Lesotho
Liberia,West Africa Region
Malawi,Malawi
Mali,West Africa Region
Mozambique,Mozambique
Namibia,Namibia
Nepal,Asia Region
Nicaragua,Western Hemisphere Region
Nigeria,Nigeria
Panama,Western Hemisphere Region
Papua New Guinea,Asia Region
Philippines,Asia Region
Rwanda,Rwanda
Senegal,West Africa Region
Sierra Leone,West Africa Region
South Africa,South Africa
South Sudan,South Sudan
Tajikistan,Asia Region
Tanzania,Tanzania
Thailand,Asia Region
Togo,West Africa Region
Trinidad and Tobago,Western Hemisphere Region
Uganda,Uganda
Ukraine,Ukraine
Vietnam,Vietnam
West Africa Region,West Africa Region
Western Hemisphere Region,Western Hemisphere Region
Zambia,Zambia
Zimbabwe,Zimbabwe
Benin,West Africa Region
Peru,Western Hemisphere Region
Colombia,Western Hemisphere Region
Venezuela,Western Hemisphere Region
